"model_id","reference_datetime","datetime","variable","prediction"
"OneDProcessModel",2022-01-04,2022-01-28,"chlorophyll-a",16.7376502613617
"OneDProcessModel",2022-01-04,2022-01-29,"chlorophyll-a",17.3613878622266
"OneDProcessModel",2022-01-04,2022-01-30,"chlorophyll-a",18.1228922244108
"OneDProcessModel",2022-01-04,2022-01-31,"chlorophyll-a",18.0165566981569
"OneDProcessModel",2022-01-04,2022-02-01,"chlorophyll-a",18.3153429606597
"OneDProcessModel",2022-01-04,2022-02-02,"chlorophyll-a",18.4620541939552
"OneDProcessModel",2022-01-04,2022-02-03,"chlorophyll-a",18.5685015319168
"OneDProcessModel",2022-01-04,2022-02-04,"chlorophyll-a",16.0786780763717
"OneDProcessModel",2022-01-04,2022-02-05,"chlorophyll-a",15.9934785968393
"OneDProcessModel",2022-01-04,2022-02-06,"chlorophyll-a",16.9096888197761
"OneDProcessModel",2022-01-04,2022-02-07,"chlorophyll-a",18.2772457040323
"OneDProcessModel",2022-01-04,2022-02-08,"chlorophyll-a",15.8889749607147
"OneDProcessModel",2022-01-05,2022-01-05,"chlorophyll-a",10.0812587062937
"OneDProcessModel",2022-01-05,2022-01-06,"chlorophyll-a",8.90258659049232
"OneDProcessModel",2022-01-05,2022-01-07,"chlorophyll-a",10.1841503245563
"OneDProcessModel",2022-01-05,2022-01-08,"chlorophyll-a",11.7482658360147
"OneDProcessModel",2022-01-05,2022-01-09,"chlorophyll-a",13.1804870739286
"OneDProcessModel",2022-01-05,2022-01-10,"chlorophyll-a",13.749800620025
"OneDProcessModel",2022-01-05,2022-01-11,"chlorophyll-a",15.1931463829459
"OneDProcessModel",2022-01-05,2022-01-12,"chlorophyll-a",15.9496256342526
"OneDProcessModel",2022-01-05,2022-01-13,"chlorophyll-a",12.9169651040256
"OneDProcessModel",2022-01-05,2022-01-14,"chlorophyll-a",16.661237314994
"OneDProcessModel",2022-01-05,2022-01-15,"chlorophyll-a",19.4476118864851
"OneDProcessModel",2022-01-05,2022-01-16,"chlorophyll-a",14.9944167780155
"OneDProcessModel",2022-01-05,2022-01-17,"chlorophyll-a",14.2654357314035
"OneDProcessModel",2022-01-05,2022-01-18,"chlorophyll-a",15.1977874333767
"OneDProcessModel",2022-01-05,2022-01-19,"chlorophyll-a",16.4465818340307
"OneDProcessModel",2022-01-05,2022-01-20,"chlorophyll-a",17.2210466307293
"OneDProcessModel",2022-01-05,2022-01-21,"chlorophyll-a",15.8415142463096
"OneDProcessModel",2022-01-05,2022-01-22,"chlorophyll-a",19.0624518020909
"OneDProcessModel",2022-01-05,2022-01-23,"chlorophyll-a",20.8097591796015
"OneDProcessModel",2022-01-05,2022-01-24,"chlorophyll-a",20.4355674478405
"OneDProcessModel",2022-01-05,2022-01-25,"chlorophyll-a",19.5374791811101
"OneDProcessModel",2022-01-05,2022-01-26,"chlorophyll-a",16.6058418987343
"OneDProcessModel",2022-01-05,2022-01-27,"chlorophyll-a",15.7211286513636
"OneDProcessModel",2022-01-05,2022-01-28,"chlorophyll-a",16.8601508610819
"OneDProcessModel",2022-01-05,2022-01-29,"chlorophyll-a",17.9135604791402
"OneDProcessModel",2022-01-05,2022-01-30,"chlorophyll-a",18.7035517919926
"OneDProcessModel",2022-01-05,2022-01-31,"chlorophyll-a",18.5758739160173
"OneDProcessModel",2022-01-05,2022-02-01,"chlorophyll-a",18.9230956385799
"OneDProcessModel",2022-01-05,2022-02-02,"chlorophyll-a",19.0813136308473
"OneDProcessModel",2022-01-05,2022-02-03,"chlorophyll-a",19.1949227684893
"OneDProcessModel",2022-01-05,2022-02-04,"chlorophyll-a",16.6048810855298
"OneDProcessModel",2022-01-05,2022-02-05,"chlorophyll-a",16.5160911849198
"OneDProcessModel",2022-01-05,2022-02-06,"chlorophyll-a",17.2695220860588
"OneDProcessModel",2022-01-05,2022-02-07,"chlorophyll-a",18.9481881909157
"OneDProcessModel",2022-01-05,2022-02-08,"chlorophyll-a",16.2891236103376
"OneDProcessModel",2022-01-05,2022-02-09,"chlorophyll-a",17.7204499625787
"OneDProcessModel",2022-01-06,2022-01-06,"chlorophyll-a",10.7990277986111
"OneDProcessModel",2022-01-06,2022-01-07,"chlorophyll-a",9.58577745622185
"OneDProcessModel",2022-01-06,2022-01-08,"chlorophyll-a",10.6683112170112
"OneDProcessModel",2022-01-06,2022-01-09,"chlorophyll-a",11.8384013701528
"OneDProcessModel",2022-01-06,2022-01-10,"chlorophyll-a",13.6987059132822
"OneDProcessModel",2022-01-06,2022-01-11,"chlorophyll-a",14.949185367677
"OneDProcessModel",2022-01-06,2022-01-12,"chlorophyll-a",15.4262054306101
"OneDProcessModel",2022-01-06,2022-01-13,"chlorophyll-a",12.4427519428529
"OneDProcessModel",2022-01-06,2022-01-14,"chlorophyll-a",17.2921701141703
"OneDProcessModel",2022-01-06,2022-01-15,"chlorophyll-a",20.6728848710719
"OneDProcessModel",2022-01-06,2022-01-16,"chlorophyll-a",15.671251456583
"OneDProcessModel",2022-01-06,2022-01-17,"chlorophyll-a",14.8899813944238
"OneDProcessModel",2022-01-06,2022-01-18,"chlorophyll-a",15.6367703349555
"OneDProcessModel",2022-01-06,2022-01-19,"chlorophyll-a",16.6815248748715
"OneDProcessModel",2022-01-06,2022-01-20,"chlorophyll-a",17.8943186101417
"OneDProcessModel",2022-01-06,2022-01-21,"chlorophyll-a",16.4940254372734
"OneDProcessModel",2022-01-06,2022-01-22,"chlorophyll-a",20.1512250233705
"OneDProcessModel",2022-01-06,2022-01-23,"chlorophyll-a",22.1191462537737
"OneDProcessModel",2022-01-06,2022-01-24,"chlorophyll-a",21.8371394487207
"OneDProcessModel",2022-01-06,2022-01-25,"chlorophyll-a",20.8879376855866
"OneDProcessModel",2022-01-06,2022-01-26,"chlorophyll-a",17.3028853418442
"OneDProcessModel",2022-01-06,2022-01-27,"chlorophyll-a",16.1222343497813
"OneDProcessModel",2022-01-06,2022-01-28,"chlorophyll-a",17.4171645499812
"OneDProcessModel",2022-01-06,2022-01-29,"chlorophyll-a",18.9053815379974
"OneDProcessModel",2022-01-06,2022-01-30,"chlorophyll-a",19.7268982211596
"OneDProcessModel",2022-01-06,2022-01-31,"chlorophyll-a",19.6470734350333
"OneDProcessModel",2022-01-06,2022-02-01,"chlorophyll-a",20.0980323320872
"OneDProcessModel",2022-01-06,2022-02-02,"chlorophyll-a",20.2900164955806
"OneDProcessModel",2022-01-06,2022-02-03,"chlorophyll-a",20.4136446124419
"OneDProcessModel",2022-01-06,2022-02-04,"chlorophyll-a",17.6462828988336
"OneDProcessModel",2022-01-06,2022-02-05,"chlorophyll-a",17.527816235046
"OneDProcessModel",2022-01-06,2022-02-06,"chlorophyll-a",17.797375610905
"OneDProcessModel",2022-01-06,2022-02-07,"chlorophyll-a",19.8446440638219
"OneDProcessModel",2022-01-06,2022-02-08,"chlorophyll-a",16.8887971550021
"OneDProcessModel",2022-01-06,2022-02-09,"chlorophyll-a",18.2596727663469
"OneDProcessModel",2022-01-06,2022-02-10,"chlorophyll-a",18.0057529982305
"OneDProcessModel",2022-01-07,2022-01-07,"chlorophyll-a",10.6395833333333
"OneDProcessModel",2022-01-07,2022-01-08,"chlorophyll-a",9.48669485521363
"OneDProcessModel",2022-01-07,2022-01-09,"chlorophyll-a",10.5221015227089
"OneDProcessModel",2022-01-07,2022-01-10,"chlorophyll-a",12.5220259608528
"OneDProcessModel",2022-01-07,2022-01-11,"chlorophyll-a",13.7405242797265
"OneDProcessModel",2022-01-07,2022-01-12,"chlorophyll-a",14.1735663510412
"OneDProcessModel",2022-01-07,2022-01-13,"chlorophyll-a",11.5005616214064
"OneDProcessModel",2022-01-07,2022-01-14,"chlorophyll-a",16.8003577550292
"OneDProcessModel",2022-01-07,2022-01-15,"chlorophyll-a",20.571531733622
"OneDProcessModel",2022-01-07,2022-01-16,"chlorophyll-a",15.5544277446032
"OneDProcessModel",2022-01-07,2022-01-17,"chlorophyll-a",14.8134590138285
"OneDProcessModel",2022-01-07,2022-01-18,"chlorophyll-a",15.5463972060485
"OneDProcessModel",2022-01-07,2022-01-19,"chlorophyll-a",16.5169275165723
"OneDProcessModel",2022-01-07,2022-01-20,"chlorophyll-a",17.9948616253551
"OneDProcessModel",2022-01-07,2022-01-21,"chlorophyll-a",16.6333830619518
"OneDProcessModel",2022-01-07,2022-01-22,"chlorophyll-a",20.4343238400638
