"model_id","reference_datetime","datetime","variable","prediction"
"LSTM",2022-01-12,2022-01-22,"chlorophyll-a",9.17211532592773
"LSTM",2022-01-12,2022-01-23,"chlorophyll-a",8.42377090454102
"LSTM",2022-01-12,2022-01-24,"chlorophyll-a",8.13072776794434
"LSTM",2022-01-12,2022-01-25,"chlorophyll-a",7.83168268203735
"LSTM",2022-01-12,2022-01-26,"chlorophyll-a",7.9651460647583
"LSTM",2022-01-12,2022-01-27,"chlorophyll-a",8.54449844360352
"LSTM",2022-01-12,2022-01-28,"chlorophyll-a",9.55608463287354
"LSTM",2022-01-12,2022-01-29,"chlorophyll-a",11.146143913269
"LSTM",2022-01-12,2022-01-30,"chlorophyll-a",12.5932817459106
"LSTM",2022-01-12,2022-01-31,"chlorophyll-a",13.0106983184814
"LSTM",2022-01-12,2022-02-01,"chlorophyll-a",14.1789884567261
"LSTM",2022-01-13,2022-01-13,"chlorophyll-a",13.9663636363636
"LSTM",2022-01-13,2022-01-14,"chlorophyll-a",12.5794649124146
"LSTM",2022-01-13,2022-01-15,"chlorophyll-a",12.4656200408936
"LSTM",2022-01-13,2022-01-16,"chlorophyll-a",12.2881555557251
"LSTM",2022-01-13,2022-01-17,"chlorophyll-a",12.188497543335
"LSTM",2022-01-13,2022-01-18,"chlorophyll-a",11.780704498291
"LSTM",2022-01-13,2022-01-19,"chlorophyll-a",11.5913066864014
"LSTM",2022-01-13,2022-01-20,"chlorophyll-a",11.3487634658813
"LSTM",2022-01-13,2022-01-21,"chlorophyll-a",11.0048713684082
"LSTM",2022-01-13,2022-01-22,"chlorophyll-a",10.4459590911865
"LSTM",2022-01-13,2022-01-23,"chlorophyll-a",10.1657333374023
"LSTM",2022-01-13,2022-01-24,"chlorophyll-a",9.18600082397461
"LSTM",2022-01-13,2022-01-25,"chlorophyll-a",8.32106399536133
"LSTM",2022-01-13,2022-01-26,"chlorophyll-a",8.0516529083252
"LSTM",2022-01-13,2022-01-27,"chlorophyll-a",7.76845979690552
"LSTM",2022-01-13,2022-01-28,"chlorophyll-a",7.80107307434082
"LSTM",2022-01-13,2022-01-29,"chlorophyll-a",8.23224258422852
"LSTM",2022-01-13,2022-01-30,"chlorophyll-a",9.12857055664062
"LSTM",2022-01-13,2022-01-31,"chlorophyll-a",10.6749324798584
"LSTM",2022-01-13,2022-02-01,"chlorophyll-a",12.1324110031128
"LSTM",2022-01-13,2022-02-02,"chlorophyll-a",12.6536979675293
"LSTM",2022-01-14,2022-01-14,"chlorophyll-a",14.8994405594406
"LSTM",2022-01-14,2022-01-15,"chlorophyll-a",9.91038513183594
"LSTM",2022-01-14,2022-01-16,"chlorophyll-a",9.69401550292969
"LSTM",2022-01-14,2022-01-17,"chlorophyll-a",9.55873107910156
"LSTM",2022-01-14,2022-01-18,"chlorophyll-a",9.47339344024658
"LSTM",2022-01-14,2022-01-19,"chlorophyll-a",9.42969131469727
"LSTM",2022-01-14,2022-01-20,"chlorophyll-a",9.39921760559082
"LSTM",2022-01-14,2022-01-21,"chlorophyll-a",9.38328742980957
"LSTM",2022-01-14,2022-01-22,"chlorophyll-a",9.37465667724609
"LSTM",2022-01-14,2022-01-23,"chlorophyll-a",9.3698205947876
"LSTM",2022-01-14,2022-01-24,"chlorophyll-a",9.36638164520264
"LSTM",2022-01-14,2022-01-25,"chlorophyll-a",9.36412715911865
"LSTM",2022-01-14,2022-01-26,"chlorophyll-a",9.36293697357178
"LSTM",2022-01-14,2022-01-27,"chlorophyll-a",9.3623743057251
"LSTM",2022-01-14,2022-01-28,"chlorophyll-a",9.36245632171631
