"datetime","depth","variable","prediction","observation"
2020-07-21,1,"temperature",NA,27.6682434027778
2020-07-21,1.6,"temperature",NA,26.9095524475524
2020-07-21,2,"temperature",NA,24.7438222222222
2020-07-21,3,"temperature",NA,17.9041807638889
2020-07-21,4,"temperature",NA,13.3112245138889
2020-07-21,5,"temperature",NA,10.8444289583333
2020-07-21,6,"temperature",NA,10.8083255555556
2020-07-21,7,"temperature",NA,10.8122646527778
2020-07-21,8,"temperature",NA,10.7946374305556
2020-07-21,9,"temperature",NA,10.7877975
2020-07-22,0.1,"temperature",NA,27.8900463888889
2020-07-22,1,"temperature",NA,27.3405533333333
2020-07-22,1.6,"temperature",NA,26.9587357142857
2020-07-22,2,"temperature",NA,24.83064875
2020-07-22,3,"temperature",NA,17.9798355555556
2020-07-22,4,"temperature",NA,13.3521276388889
2020-07-22,5,"temperature",NA,10.8833386111111
2020-07-22,6,"temperature",NA,10.8324486111111
2020-07-22,7,"temperature",NA,10.8300588194444
2020-07-22,8,"temperature",NA,10.8050068055556
2020-07-22,9,"temperature",NA,10.7439511805556
2020-07-23,0.1,"temperature",NA,27.7029954861111
2020-07-23,1,"temperature",NA,27.0662598611111
2020-07-23,1.6,"temperature",NA,26.7905244755245
2020-07-23,2,"temperature",NA,24.8955631944444
2020-07-23,3,"temperature",NA,18.1370303472222
2020-07-23,4,"temperature",NA,13.3227138888889
2020-07-23,5,"temperature",NA,10.9430839583333
2020-07-23,6,"temperature",NA,10.8308686111111
2020-07-23,7,"temperature",NA,10.8278952083333
2020-07-23,8,"temperature",NA,10.8044431944444
2020-07-23,9,"temperature",NA,10.7476726388889
2020-07-24,0.1,"temperature",NA,27.8796679166667
2020-07-24,1,"temperature",NA,26.5373019444444
2020-07-24,1.6,"temperature",NA,26.3915416666667
